afstemningid,sagstrinid,kommentar,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort
2399,37220,,1,2014-12-18 10:00:00,17,12713,3,L 2,"Forslag til lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansåret 2018.","Om udgiftslofter for stat, kommuner og regioner for finansåret 2018."
2400,37233,,1,2014-12-18 10:00:00,17,12714,3,L 3,"Forslag til lov om ændring af lov om fastsættelse af udgiftslofter for stat, kommuner og regioner for finansårene 2014-2017. (Konsekvenser af aftaler om vækstpakke 2014 m.v.).","Om udgiftslofter for stat, kommuner og regioner for finansårene 2014-2017. "
2401,59307,,1,2014-12-18 10:00:00,17,21903,3,L 58 A,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats, lov om arbejdsløshedsforsikring m.v. og forskellige andre love. (Reform af beskæftigelsesindsatsen, et fælles og intensiveret kontaktforløb, uddannelsesløft, styrket rådighed og målretning af virksomhedsrettede tilbud m.v.).","Om reform af beskæftigelsesindsatsen, et fælles og intensiveret kontaktforløb, uddannelsesløft m.v.  "
2402,59310,,1,2014-12-18 10:00:00,17,21904,3,L 58 B,"Forslag til lov om ændring af lov om en aktiv beskæftigelsesindsats og lov om aktiv socialpolitik. (Joblog, sanktion ved udeblivelse fra tilbud samt 6 ugers jobrettet uddannelse for modtagere af ledighedsydelse).","Om Joblog, sanktion ved udeblivelse fra tilbud samt 6 ugers jobrettet uddannelse for modtagere af ledighedsydelse.  "
2403,57599,,1,2014-12-18 10:00:00,17,21432,3,L 59,Forslag til lov om organisering og understøttelse af beskæftigelsesindsatsen m.v.,Om organisering og understøttelse af beskæftigelsesindsatsen m.v.
2404,57664,,1,2014-12-18 10:00:00,17,21437,3,L 60,Forslag til lov om ændring af lov om forbud mod forskelsbehandling på arbejdsmarkedet m.v. (Ophævelse af 70-årsgrænse m.v.).,Om ophævelse af 70-årsgrænse m.v.
2405,57651,,1,2014-12-18 10:00:00,17,21436,3,L 61,"Forslag til lov om ændring af udlændingeloven, integrationsloven og lov om Det Centrale Personregister. (Reform af international rekruttering m.v.).",Om reform af international rekruttering m.v.
2406,38315,,1,2014-12-18 10:00:00,17,13002,3,L 11,Forslag til lov om ændring af lov om CO2-kvoter og lov om kuldioxidafgift af visse energiprodukter. (Tilpasning af reglerne om udledninger fra luftfart efter Europa-Parlamentets og Rådets forordning (EU) nr. 421/2014 af 16. april 2014 m.v.).,Om tilpasning af reglerne om udledninger fra luftfart efter Europa-Parlamentets og Rådets forordning (EU) nr. 421/2014 af 16. april 2014 m.v.
2407,54316,,1,2014-12-18 10:00:00,17,20248,3,L 48,"Forslag til lov om ændring af lov om elforsyning, lov om naturgasforsyning, lov om varmeforsyning, lov om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser, biobrændstofloven og lov om fremme af besparelser i energiforbruget. (Erhvervsrettet lempelse af PSO-betaling for elektricitet, afskaffelse af tilskudsordning til ikkekvoteomfattet elproduktion, afskaffelse af PSO-betaling for gas, fravigelse af iblandingsprocent for biobrændstoffer, faktureringsoplysninger m.v. til energiforbrugere, ændring af klageregler m.v.).",Om erhvervsrettet lempelse af PSO-betaling for elektricitet m.v.
2408,54329,,1,2014-12-18 10:00:00,17,20249,3,L 49,"Forslag til lov om ændring af lov om sikkerhed m.v. for offshoreanlæg til efterforskning, produktion og transport af kulbrinter, lov om beskyttelse af havmiljøet og miljøskadeloven. (Gennemførelse af offshoresikkerhedsdirektivet m.v.).",Om gennemførelse af offshoresikkerhedsdirektivet m.v. 
2409,38198,,1,2014-12-18 10:00:00,17,12993,3,L 21,Forslag til lov om en ny fjordforbindelse ved Frederikssund.,Om en ny fjordforbindelse ved Frederikssund.
2410,57612,,1,2014-12-18 10:00:00,17,21433,3,L 73,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om værdipapirhandel m.v., lov om betalingstjenester og elektroniske penge og forskellige andre love. (Erstatningsansvar ved handlinger i strid med god skik-reglerne, forbrugerbeskyttelse ved kaution, krav om grundkursus til bestyrelsesmedlemmer, brugerbeskyttelse ved udbud af betalingstjenester og udstedelse af elektroniske penge m.v.).","Om erstatningsansvar ved handlinger i strid med god skik-regler, krav om grundkursus til bestyrelsesmedlemmer m.v."
2411,38432,,1,2014-12-18 10:00:00,17,13011,3,L 32,"Forslag til lov om ændring af lov om efterskoler, husholdningsskoler og håndarbejdsskoler og forskellige andre love. (Fornyelse af frie fagskolers undervisningstilbud m.v.).",Om fornyelse af frie fagskolers undervisningstilbud m.v.
2412,55506,,1,2014-12-18 10:00:00,17,21320,3,L 56,Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag. (Finansiering af elevers ophold på kostafdelinger m.v.).,Om finansiering af elevers ophold på kostafdelingen m.v.
2413,38062,,1,2014-12-18 10:00:00,17,12982,3,L 6,"Forslag til lov om ændring af lov om indgåelse af protokoller om ændring af dobbeltbeskatningsoverenskomster mellem Danmark og henholdsvis Belgien, Luxembourg, Singapore og Østrig. (Gennemførelse af protokol til ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Luxembourg).",Om dobbeltbeskatningsoverenskomsten mellem Danmark og Luxembourg.
2414,38036,,1,2014-12-18 10:00:00,17,12980,3,L 8,Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst mellem Danmark og Ghana.,Om indgåelse af dobbeltbeskatningsoverenskomst mellem Danmark og Ghana.
2415,59315,,1,2014-12-18 10:00:00,17,21901,3,L 42 A,"Forslag til lov om ændring af skatteforvaltningsloven, opkrævningsloven og forskellige andre love. (Hurtig afslutning i visse klagesager, omkostningsgodtgørelse i retssager, dækningsrækkefølgen for underholdsbidrag, restanceforebyggelse, momsregistrering af visse virksomheder, forbedret inddrivelse af restancer til det offentlige m.v.).","Om hurtig afslutning i visse klagesager, omkostningsgodtgørelse i retssager m.v. "
2416,59319,,1,2014-12-18 10:00:00,17,21902,3,L 42 B,Forslag til lov om ændring af ligningsloven. (Betingelse for tredjemandstilskud).,Om betingelse for tredjemandstilskud.
2417,59331,,1,2014-12-18 10:00:00,17,21899,3,L 43 A,Forslag til lov om ændring af momsloven. (Ophævelse af fradragsbegrænsningen for moms på hotelophold).,Om ophævelse af fradragsbegrænsningen for moms på hotelophold.
2418,59335,,1,2014-12-18 10:00:00,17,21900,3,L 43 B,"Forslag til lov om ændring af registreringsafgiftsloven, brændstofforbrugsafgiftsloven og lov om vægtafgift af motorkøretøjer m.v. (Harmonisering af afgifterne på personbiler  med tilladelse til erhvervsmæssig persontransport).",Om harmonisering af afgifterne på personbiler med tilladelse til erhvervsmæssig persontransport.
2419,57452,,1,2014-12-18 10:00:00,17,21420,3,L 63,Forslag til lov om ændring af kildeskatteloven. (Nedsættelse af vederlagskravet i skatteordningen for udenlandske forskere og nøglemedarbejdere).,Om nedsættelse af vederlagskravet i skatteordningen for udenlandske forskere og nøglemedarbejdere.
2420,54225,,1,2014-12-18 10:00:00,17,20241,3,L 44,Forslag til lov om ændring af lov om dansk indfødsret. (Accept af dobbelt statsborgerskab og betaling af gebyr i sager om dansk indfødsret).,Om accept af dobbelt statsborgerskab og betaling af gebyr i sager om dansk indfødsret.
2421,59327,,1,2014-12-18 10:00:00,17,21898,3,L 45 B,Forslag til lov om indfødsrets meddelelse.,Om indfødsrets meddelelse.
2422,38237,,1,2014-12-18 10:00:00,17,12996,3,L 28,"Forslag til lov om ændring af lov for Færøerne om rettens pleje og lov om ændring af tinglysningsloven, konkursloven og andre love. (Indførelse af virksomhedspant på Færøerne).",Om indførelse af virksomhedspant på Færøerne.
2423,38289,,1,2014-12-18 10:00:00,17,13000,3,L 29,Forslag til lov om ændring af lov om erstatningsansvar. (Ændring af beregningsprincipperne for erhvervsevnetabserstatning til unge under uddannelse).,Om ændring af beregningsprincipperne for erhvervstabserstatning til unge under uddannelse.
2424,58947,,1,2014-12-18 10:00:00,17,21810,3,L 30 A,Forslag til lov om ændring af færdselsloven. (Letbaner).,Om letbaner.
2425,58950,,1,2014-12-18 10:00:00,17,21811,3,L 30 B,Forslag til lov om ændring af færdselsloven. (Konstruktivt bestemt hastighed for motorredskaber m.v.).,Om konstruktivt bestemt hastighed for motorredskaber m.v.
2444,58260,,1,2015-01-22 10:00:00,17,21604,3,L 86,"Forslag til lov om ændring af lov om betalingsregler for spildevandsforsyningsselskaber m.v., lov om miljøbeskyttelse og lov om vandsektorens organisering og økonomiske forhold. (Afdragsordning, finansiering og fristfastsættelse ved påbud om forbedret spildevandsrensning samt drift og vedligeholdelse af anlæg til spildevandshåndtering).",Om spildevandsrensning m.v.
2445,55543,,1,2015-01-22 10:00:00,17,21327,3,L 51,Forslag til lov om ændring af bogføringsloven. (Opbevaring af regnskabsmateriale m.v.).,Om opbevaring af regnskabsmateriale m.v.
2446,58232,,1,2015-01-22 10:00:00,17,21601,3,L 83,"Forslag til lov om ændring af lov om arbejdsmiljø. (Undtagelse af frivilligt arbejde fra krav om arbejdspladsvurdering og arbejdsmiljøorganisation, forebyggelse af arbejdsrelateret vold, trusler og anden krænkende adfærd uden for arbejdstid, Arbejdstilsynets adgang til at indhente oplysninger fra eksterne registre m.v.).",Om undtagelse af frivilligt arbejde fra krav om arbejdspladsvurdering m.v.
2447,58245,,1,2015-01-22 10:00:00,17,21602,3,L 84,Forslag til lov om ændring af lov om retsforholdet mellem arbejdsgivere og funktionærer. (Forenkling vedrørende fratrædelsesgodtgørelse).,Om forenkling vedrørende fratrædelsesgodtgørelse.
2448,59641,,1,2015-01-22 10:00:00,17,21980,3,L 106,Forslag til lov om ændring af lov om aktiv socialpolitik. (Midlertidig genindførelse af fradrag i uddannelses- og kontanthjælp for samlevers indtægter m.v.).,Om midlertidig genindførelse af fradrag i uddannelses- og kontanthjælp for samlevers indtægter m.v.
2454,57485,,1,2015-02-03 13:00:00,17,21423,3,L 72,"Forslag til lov om ændring af udlændingeloven. (Midlertidig beskyttelsesstatus for visse udlændinge samt afvisning af realitetsbehandling af asylansøgninger, når ansøgeren har opnået beskyttelse i et andet EU-land m.v.).",Om midlertidig beskyttelsesstatus for visse udlændinge samt afvisning af realitetsbehandling af visse asylansøgninger m.v.
2457,55480,,1,2015-02-05 10:00:00,17,21318,3,L 50,Forslag til lov om ændring af straffeloven og lov om fuldbyrdelse af straf m.v. (Samfundstjeneste m.v.).,Om samfundstjeneste m.v.
2458,57498,,1,2015-02-05 10:00:00,17,21424,3,L 69,Forslag til lov om ændring af færdselsloven. (Ændret aldersgrænse for forkortet gyldighedsperiode for kørekort m.v.).,Om ændret aldersgrænse for forkortet gyldighedsperiode for kørekort m.v.
2459,59110,,1,2015-02-05 10:00:00,17,21852,3,L 104,Forslag til lov om Miljøteknologisk Udviklings- og Demonstrationsprogram.,Om Miljøteknologisk Udviklings- og Demonstrationsprogram.
2460,55467,,1,2015-02-05 10:00:00,17,21317,3,L 52,Forslag til lov om ændring af lov om Aarhus Letbane og lov om trafikselskaber. (Transportministerens udtræden af Aarhus Letbane I/S).,Om transportministerens udtræden af Aarhus Letbane I/S.
2461,55493,,1,2015-02-05 10:00:00,17,21319,3,L 53,Forslag til lov om Odense Letbane.,Om Odense Letbane.
2462,57560,,1,2015-02-05 10:00:00,17,21429,3,L 68,"Forslag til lov om ændring af lov om en Cityring og lov om Metroselskabet I/S og Udviklingsselskabet By & Havn I/S. (Afgrening fra Cityringen til Sydhavnen, mulighed for udvidelse af afgreningen til Nordhavnen, reduktion af statens ejerandel af Udviklingsselskabet By & Havn I/S, projektering af en Nordhavnstunnel m.v.).","Om en Nordhavnstunnel, udvidelse af Cityringen og reducering af statens ejerandel af Udviklingsselskabet By & Havn I/S."
2470,55437,,1,2015-02-19 10:00:00,17,21315,3,L 54,Forslag til lov om ændring af lov om kommunernes styrelse og regionsloven. (Mulighed for indgåelse af aftale om grænsependleres ret til fravær fra arbejdet og afskaffelse af dispensation bl.a. for ikkekommunalbestyrelses-/ikkeregionsrådsmedlemmer som medlemmer i udvalg).,Om mulighed for indgåelse af aftale om grænsependleres ret til fravær fra arbejdet m.v.
2471,57511,,1,2015-02-19 10:00:00,17,21425,3,L 71,"Forslag til lov om ændring af lov om miljøbidrag og godtgørelse i forbindelse med ophugning og skrotning af biler og lov om miljøbeskyttelse. (Obligatorisk digital kommunikation, ændringer i administrationsordningen for udbetaling af skrotningsgodtgørelse og nedsættelse af betalingssats for indsamling af bærbare batterier m.v.).",Om obligatorisk digital kommunikation og administrationsordningen for udbetaling af skrotningsgodtgørelse m.v.
2472,58286,,1,2015-02-19 10:00:00,17,21606,3,L 85,"Forslag til lov om ændring af lov om råstoffer, lov om kystbeskyttelse og lov om havstrategi. (Ændringer af auktionsordningen og andre regler om indvinding af råstoffer på havet som følge af regeringens konkurrencepolitiske udspil og evaluering af råstofloven, ændringer som følge af overførelse af kystbeskyttelsesloven til Miljøministeriet og præcisering af gennemførelse af havstrategirammedirektivet m.v.).",Om råstofindvinding m.v.
2473,58834,,1,2015-02-19 10:00:00,17,21793,3,L 94,"Forslag til lov om ændring af lov om planlægning og lov om naturbeskyttelse. (Opfølgning på dele af Naturplan Danmark om etablering af et Grønt Danmarkskort, forbud mod gødskning og sprøjtning på § 3-beskyttede arealer og indførelse af et vejledende bødeniveau for overtrædelse af naturbeskyttelsesloven m.v.).",Om opfølgning på dele af Naturplan Danmark m.v.
2474,59201,,1,2015-02-19 10:00:00,17,21859,3,L 102,Forslag til lov om ændring af lov om udstationering af lønmodtagere m.v. (Forhøjelse af straffen for overtrædelser af grovere karakter af anmeldelsespligten til Register for Udenlandske Tjenesteydere).,Om Register for Udenlandske Tjenesteydere.
2475,59227,,1,2015-02-19 10:00:00,17,21861,3,L 111,Forslag til lov om kontantydelse.,Om kontantydelse.
2481,59214,,1,2015-02-26 10:00:00,17,21860,3,L 101,"Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v. (Forsøg vedrørende fradrag for frivilligt, ulønnet arbejde).","Om forsøg vedrørende fradrag for frivilligt, ulønnet arbejde."
2482,59095,,1,2015-02-26 10:00:00,17,21850,3,L 98,"Forslag til lov om ændring af kildeskatteloven, kursgevinstloven, selskabsskatteloven, virksomhedsskatteloven og forskellige andre love. (Exitskat og henstand for fysiske personer, gennemførelse af ændring af moder-/datterselskabsdirektivet, justering af rentefradragsbegrænsningsreglerne og opgørelsesprincipper for fordringer og gæld m.v.). ",Om harmonisering af reglerne for exitbeskatning m.v.
2483,58861,,1,2015-02-26 10:00:00,17,21796,3,L 89,Forslag til lov om ændring af lov om planlægning og lov om almene boliger m.v. (Blandet boligsammensætning).,Om blandet boligsammensætning.
2485,59667,,1,2015-02-26 10:00:00,17,21982,3,L 108,Forslag til lov om ændring af lov om almene boliger m.v. (Støtte til nedrivning af hele boligafdelinger).,Om nedrivning af hele afdelinger.
2486,59682,,1,2015-02-26 10:00:00,17,21984,3,L 109,Forslag til lov om ændring af lov om almene boliger m.v. (Sociale klausuler om uddannelses- og praktikaftaler).,Om sociale klausuler om uddannelses- og praktikaftaler.
2491,59710,,1,2015-03-10 13:00:00,17,21986,3,L 113,Forslag til lov om tillægsbevilling for 2014.,Om tillægsbevillingsloven for 2014.
2495,58900,,1,2015-03-17 13:00:00,17,21799,3,L 95,"Forslag til lov om ændring af udlændingeloven. (Styrkede kontrolmuligheder i grænseområder og lufthavne og skærpelse af bødeniveau for udlændinges ulovlige indrejse, ophold og arbejde).",Om styrkede kontrolmuligheder i grænseområder og lufthavne m.v.
2496,59188,,1,2015-03-19 10:00:00,17,21858,3,L 96,Forslag til lov om ændring af lov om ændring af lov om folkekirkens økonomi. (Ophævelse af revisionsklausul).,Om ophævelse af revisionsklausul.
2497,59149,,1,2015-03-19 10:00:00,17,21855,3,L 103,Forslag til lov om ændring af forældreansvarsloven og retsplejeloven. (Imødegåelse af samarbejdschikane m.v.).,Om at imødegå samarbejdschikane i sager om forældreansvar m.v.
2498,58273,,1,2015-03-19 10:00:00,17,21605,3,L 82,Forslag til lov om ændring af lov om leje af erhvervslokaler m.v. (Fremme af energirenovering i erhvervslejemål).,Om fremme af energirenovering i erhvervslejemål.
2499,58887,,1,2015-03-19 10:00:00,17,21798,3,L 90,"Forslag til lov om ændring af lov om statens voksenuddannelsesstøtte (SVU), lov om en aktiv beskæftigelsesindsats, ligningsloven og lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v. (Forenkling af ordningen vedrørende statens voksenuddannelsesstøtte).",Om forenkling af ordningen vedrørende statens voksenuddannelsesstøtte.
2500,58874,,1,2015-03-19 10:00:00,17,21797,3,L 91,Forslag til lov om ændring af lov om akkreditering af videregående uddannelsesinstitutioner. (Ingen prækvalifikation af nye uddannelser ved sammenlægning af eksisterende uddannelser).,Om at fravige kravet om prækvalifikation ved sammenlægning af flere eksisterende uddannelser.
2501,60709,,1,2015-03-19 10:00:00,17,22149,3,L 123,"Forslag til lov om ændring af momsloven. (Importmoms på dansksprogede magasiner, tidsskrifter og lign. sendt fra lande uden for EU og bemyndigelse til lempelse og fritagelse vedrørende faktureringspligt).",Om importmoms på dansksprogede magasiner m.v.
2503,58847,,1,2015-03-24 13:00:00,17,21794,3,L 92,"Forslag til lov om ændring af varemærkeloven, designloven, patentloven og lov om brugsmodeller. (Styrket indsats mod piratkopiering ved etablering af en håndhævelsesenhed m.v.).",Om en styrket indsats mod piratkopiering ved etablering af en håndhævelsesenhed m.v.
2504,59899,,1,2015-03-24 13:00:00,17,22037,3,L 114,Forslag til lov om ændring af lov om finansiel virksomhed. (Gennemførelse af solvens II- og omnibus II-direktivet).,Om gennemførelse af solvens II- og omnibus II-direktivet.
2511,58563,,1,2015-03-26 10:00:00,17,21706,3,L 87,Forslag til lov om ændring af udlændingeloven. (Statsforvaltningens underretning af kommunerne ved udstedelse af registreringsbeviser og opholdskort efter EU-reglerne samt justering af boligkravet m.v.).,Om statsforvaltningens underretning af kommunerne ved udstedelse af registreringsbeviser og opholdskort m.v.
2512,59136,,1,2015-03-26 10:00:00,17,21854,3,L 100,Forslag til lov om restrukturering og afvikling af visse finansielle virksomheder.,Om restrukturering og afvikling af visse finansielle virksomheder.
2513,59123,,1,2015-03-26 10:00:00,17,21853,3,L 105,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om finansiel stabilitet, lov om en garantifond for indskydere og investorer, lov om værdipapirhandel m.v. og ligningsloven. (Gennemførelse af direktiv om genopretning og afvikling af kreditinstitutter og investeringsselskaber (BRRD) og direktiv om indskudsgarantiordninger (DGSD)).",Om gennemførelse af direktiv om genopretning og afvikling af kreditinstitutter og investeringsselskaber og om indskudsgarantiordninger.
2515,60784,,1,2015-04-07 13:00:00,17,22155,3,L 116,"Forslag til lov om ændring af lov om anvendelse af Danmarks undergrund. (Gennemførelse af offshoresikkerhedsdirektivet, subsidiært ansvar for afvikling af anlæg, plan for afvikling af anlæg, sikkerhedsstillelse, forlængelse af geotermitilladelser, beredskab for forsyningsmæssige forhold, forsikring, digital kommunikation m.v.).",Om gennemførelse af resterende del af offshoresikkerhedsdirektivet m.v.
2518,60669,,1,2015-04-14 13:00:00,17,22145,3,L 125,Forslag til lov om ændring af lov om dansk indfødsret. (Overgang til obligatorisk digital selvbetjening ved ansøgning om dansk indfødsret ved naturalisation m.v.).,Om overgang til obligatorisk digital selvbetjening ved ansøgning om dansk indfødsret ved naturalisation m.v.
2523,59628,,1,2015-04-16 10:00:00,17,21979,3,L 110,Forslag til lov om ændring af lov om fremme af dopingfri idræt og ligningsloven. (Bekæmpelse af manipulation af idrætskonkurrencer).,Om bekæmpelse af manipulation af idrætskonkurrencer.
2524,60682,,1,2015-04-16 10:00:00,17,22146,3,L 131,Forslag til lov om ændring af lov om maritime uddannelser og lov om vurdering af udenlandske uddannelseskvalifikationer m.v. (Harmonisering af visse regler for de maritime uddannelser).,Om harmonisering af visse regler for de maritime uddannelser.
2525,57586,,1,2015-04-16 10:00:00,17,21431,3,L 67,Forslag til lov om ændring af lov om en rejsegarantifond. (Dækning af tab ved køb af flyrejser i tilfælde af rejseudbyderens konkurs m.v.).,Om dækning af tab ved køb af flyrejser i tilfælde af rejseudbyderens konkurs m.v.
