afstemningid,sagstrinid,kommentar,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort,sag_resume
2288,38393,,1,2014-12-04 10:00:00,17,13008,3,L 16,Forslag til lov om medarbejderinvesteringsselskaber.,Om indførelse af medarbejderinvesteringsselskab.,"Lovforslaget indebærer, at der indføres en ny selskabsform, hvorigennem medarbejdere kan investere lønmidler til gavn for den virksomhed, de er ansat i. Ordningen foreslås etableret som en 3-årig forsøgsordning. Herudover foreslås en mindre regulering af selskabsloven vedrørende angivelse af cpr-nummer ved indberetning af fysiske personer til ejerregisteret. 

Forslaget udmønter en politisk aftale af 2. april 2014 mellem regeringen (Socialdemokratiet og Radikale Venstre), Venstre, Dansk Folkeparti, Liberal Alliance og Det Konservative Folkeparti om en vækstplan for fødevarer. 

Lovforslaget sambehandles med lovforslag nr. L 10."
2289,38103,,1,2014-12-04 10:00:00,17,12985,3,L 10,"Forslag til lov om ændring af aktieavancebeskatningsloven, ligningsloven, selskabsskatteloven og forskellige andre love. (Skattemæssige ændringer i lyset af lov om medarbejderinvesteringsselskaber).",Om skattemæssige ændringer i lyset af lov om medarbejderinvesteringsselskaber.,"Erhvervs- og vækstministeren har fremsat et lovforslag (lovforslag nr. L 16) om etablering af en 3-årig forsøgsordning med medarbejderinvesteringsselskaber. Nærværende lovforslag vedrører ændringer i skattelovgivningen i forbindelse med etableringen af forsøgsordningen med medarbejderinvesteringsselskaber og en tilpasning af ferieloven på baggrund af ordningen.

Nærværende lovforslag indeholder følgende fire overordnede elementer: 
– Medarbejderne (investorerne) får bortseelsesret, dvs. fradrag for indbetalinger til medarbejderinvesteringsselskabet. Det bortseelsesberettigede beløb kan højst udgøre 7,5 pct. af medarbejderens kontante løn, dog højst 30.000 kr. pr. indkomstår. Udlodninger m.v. fra medarbejderinvesteringsselskabet til medarbejderne skal medregnes til den personlige indkomst.
– Bortseelsesretten forudsætter, at medarbejderinvesteringsselskabet er godkendt af og registreret i Erhvervsstyrelsen. Bortseelsesret for indskud i medarbejderinvesteringslignende selskaber med hjemsted i andre EU/EØS-lande end Danmark forudsætter godkendelse af SKAT.
– Medarbejdernes andele i medarbejderinvesteringsselskabet omfattes af aktieavancebeskatningslovens regler, som tilpasses. Dermed finder aktieavancebeskatningslovens regler om beskatning ved fraflytning til udlandet anvendelse.
– Medarbejderinvesteringsselskabet bliver skattepligtigt efter selskabsskatteloven svarende til de regler, der gælder for aktieselskaber. Indskud af lønmidler i medarbejderinvesteringsselskabet skal dog ikke medregnes til selskabets skattepligtige indkomst.

Det skønnes med stor usikkerhed, at ordningen i 2015 forventes at medføre et umiddelbart mindreprovenu på ca. 75 mio. kr. faldende til et mindreprovenu på ca. 70 mio. kr. i 2016 og 2017. Dette mindreprovenu opvejes af et merprovenu i de efterfølgende år, og samlet set forventes ordningen ikke at medføre en varig provenuvirkning.

Lovforslaget sambehandles med lovforslag nr. L 16."
2291,54238,,1,2014-12-04 10:00:00,17,20242,3,L 41,"Forslag til lov om ændring af ligningsloven, fondsbeskatningsloven, lov om inddrivelse af gæld til det offentlige, lov om et indkomstregister og forskellige andre love. (Udvidelse af kredsen af yderkommuner med forhøjet befordringsfradrag, forhøjelse af kommunernes andel af selskabsskatten og udvidet mulighed for videregivelse af oplysninger til finansielle virksomheder).",Om udvidelse af kredsen af yderkommuner med forhøjet befordringsfradrag m.v.,"Regeringen (Socialdemokraterne og Radikale Venstre), Venstre, Dansk Folkeparti, Socialistisk Folkeparti, Enhedslisten og Det Konservative Folkeparti har i juni 2014 indgået en aftale om en vækstpakke, der indeholder en række initiativer rettet mod bedre regulering, styrket virksomhedsservice, forskning og uddannelse samt bedre erhvervsbeskatning m.v. 

De enkelte initiativer i aftalen om vækstpakken er indgået med tilslutning fra forskellige partier. Nærværende lovforslag vedrører befordringsfradrag i yderområder og forhøjelse af kommunernes andel af selskabsskatten. Regeringen, Venstre, Det Konservative Folkeparti, Socialistisk Folkeparti og Dansk Folkeparti er enige om at gennemføre disse initiativer. 

Lovforslaget indeholder for det første et forslag om at udvide kredsen af yderkommuner, hvor pendlere kan opnå forhøjet befordringsfradrag. Udvidelsen sker på baggrund af regeringens nye definition af yderområder til brug for fordeling af EU-midler til regionalfondsprogrammet og socialfondsprogrammet for 2014-2020. Kredsen af omfattede kommuner udvides hermed fra 16 til 25, når der medregnes to kommuner, der opfylder de gamle kriterier, men ikke de nye. 

Lovforslaget indeholder for det andet et forslag om gradvis forhøjelse af kommunernes andel af selskabsskatten fra 13,41 pct. til 15,24 pct. i perioden 2014-2016 for at øge kommunernes økonomiske tilskyndelse til at fastholde og tiltrække virksomheder.
"
2292,38023,,1,2014-12-09 13:00:00,17,12979,3,L 5,Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Irland.,Om dobbeltbeskatningsoverenskomsten mellem Danmark og Irland.,"Lovforslaget går ud på at indhente Folketingets samtykke til, at regeringen tiltræder en protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Irland. Protokollen blev underskrevet den 22. juli 2014.

Protokollen medfører, at Danmark fremover kan beskatte personer, der er hjemmehørende i Danmark og arbejder i Irland, af deres lønindkomst. Desuden medfører ændringen, at Danmark kan beskatte personer, der er hjemmehørende i Danmark og arbejder om bord på et fly eller skib i international trafik for et irsk luftfartselskab eller rederi. Den danske skat af lønindkomsten nedsættes med en evt. betalt irsk skat, dog højst den danske skat af indkomsten. 

Med protokollen bringes den dansk-irske dobbeltbeskatningsoverenskomst i overensstemmelse med, hvad der i mange år er aftalt i de andre danske overenskomster, ligesom det sikres, at personer, der er hjemmehørende i Danmark, også beskattes i Danmark efter danske regler. Med protokollen er der således bl.a. taget et skridt i den rigtige retning i kampen mod social dumping i luftfarten. 

Lovforslaget skønnes at medføre et årligt merprovenu på ca. 6 mio. kr. Forslaget skønnes at medføre administrative engangsomkostninger på ca. 25.000 kr. til systemtilretninger."
2293,38075,,1,2014-12-09 13:00:00,17,12983,3,L 7,Forslag til lov om indgåelse af protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Indien.,Om dobbeltbeskatningsoverenskomsten mellem Danmark og Indien.,"Lovforslaget går ud på at indhente Folketingets samtykke til, at regeringen tiltræder en protokol om ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Indien. Protokollen blev underskrevet den 10. oktober 2013. 

Protokollen indeholder en ændret affattelse af overenskomstens artikel om udveksling af oplysninger. Artiklens ordlyd følger nu den nyeste internationale standard. Ændringen sikrer de to lande de bedste muligheder for at yde hinanden bistand i skattesager. Det er særlig fremhævet, at overenskomsten også giver mulighed for, at embedsmænd fra det ene land kan deltage i skatteundersøgelser i det andet land. 

Protokollen skal ses i sammenhæng med igangværende internationale bestræbelser, støttet af såvel Danmark som Indien, for at bekæmpe skatteunddragelse og skatteflugt. Dobbeltbeskatningsoverenskomsten mellem Danmark og Indien har også virkning mellem Færøerne og Indien, og det vil protokollen også få."
2294,38089,,1,2014-12-09 13:00:00,17,12984,3,L 9,"Forslag til lov om ændring af momsloven, skattekontrolloven og ligningsloven. (Udvidelse af indberetningspligterne vedrørende finansielle produkter, ændring af indberetningspligten vedrørende modtagere af renter og afgivelse af regnskabsoplysninger om moms i forbindelse med selvangivelsen m.v.).",Om udvidelse af indberetningspligterne vedrørende finansielle produkter m.v.,"Lovforslaget indeholder bestemmelser om, at selvstændigt erhvervsdrivende skal afgive regnskabsoplysninger vedrørende skyldig eller tilgodehavende moms i forbindelse med indsendelse af selvangivelsen. Forslaget skal medvirke til, at flere selvstændigt erhvervsdrivende angiver moms i overensstemmelse med lovgivningen. 

Det foreslås, at indberetningspligten vedrørende en række finansielle produkter udvides. De foreslåede udvidelser har til hensigt at ensarte reglerne vedrørende erklærings- og indberetningspligter for konti, indskudsbeviser og pensionsordninger i udlandet, at indføre pligt til indberetning ved køb af salg af aktier, der ikke er optaget til handel på et reguleret marked, og at indføre pligt til at indberette ved selskabers tilbagekøb af egne aktier. Forslagene vedrørende udvidet indberetningspligt indgår alle i de tiltag, som skal sikre det tilsigtede provenu til finansieringen af skattereformaftalen fra 2012. 

Forslaget om at udvide tredjepartsindberetningen vedrørende finansielle produkter er en del af aftalen af 22. juni 2012 om en skattereform mellem den daværende regering (Socialdemokraterne, Det Radikale Venstre og Socialistisk Folkeparti), Venstre og Det Konservative Folkeparti. Samlet skønnes initiativerne i lovforslaget at indebære et varigt merprovenu på i alt 185 mio. kr. efter tilbageløb."
2295,38263,,1,2014-12-09 13:00:00,17,12998,3,L 36,Forslag til lov om Hav- og Fiskerifonden.,Om Hav- og Fiskerifonden.,"Formålet med lovforslaget er at skabe hjemmel til etablering og administration af støtteordninger under EU's Hav- og Fiskerifond, der skal bidrage til at opfylde målsætningerne i Europa 2020-strategien for intelligent, bæredygtig og inklusiv vækst og til den danske gennemførelse af EU's fiskeriudviklingspolitik samt den integrerede havpolitik gennem støtteordninger. 

Lovforslaget skal bl.a. give fødevareministeren og ministeren for by, bolig og landdistrikter mulighed for at fastsætte regler om gennemførelsen af Forordningen om Den Europæiske Hav- og Fiskerifonds enkelte støtteordninger inden for rammerne af det danske hav- og fiskeriudviklingsprogram og partnerskabsaftalen mellem Danmark og Europa-Kommissionen. 

Lovforslaget skal også give fødevareministeren og ministeren for by, bolig og landdistrikter bemyndigelse til at fastsætte regler om, at skriftlig kommunikation skal ske digitalt til og fra Fødevareministeriet og Ministeriet for By, Bolig og Landdistrikter om forhold, der er omfattet af loven eller af regler udstedt i medfør af loven. 

Derudover nedsættes som under de gældende regler et overvågningsudvalg, der skal varetage tilsyns- og opfølgningsfunktioner i forbindelse med administration af støtteordninger efter loven. Lovforslaget fastsætter desuden de nødvendige nationale administrative og strafferetlige regler, herunder om kontrol, klage og delegation."
2296,38276,,1,2014-12-09 13:00:00,17,12999,3,L 38,Forslag til lov om Landdistriktsfonden.,Om Landdistriktsfonden.,"Dette lovforslag fremsættes med henblik på at skabe grundlag for regeringens gennemførelse af EU’s landdistriktspolitik, jf. Europa-Parlamentets og Rådets forordning (EU) nr. 1305/2013. Lovforslaget vil afløse lov om udvikling af landdistrikterne (landdistriktsloven). 

Formålet med lovforslaget er at skabe hjemmel til etablering og administration af støtteordninger under EU’s Landdistriktsfond, der bidrager til opfyldelse af målsætningerne i Europa 2020-strategien for intelligent, bæredygtig og inklusiv vækst.

Lovforslaget skal bl.a. give fødevareministeren mulighed for at fastsætte regler om gennemførelsen af landdistriktsforordningens enkelte støtteordninger inden for rammerne af landdistriktsprogrammet og partnerskabsaftalen og give ministeren for by, bolig og landdistrikter mulighed for administrativt at fastsætte regler om gennemførelsen af støtteordninger vedrørende lokaludvikling styret af lokalsamfundet inden for rammerne af landdistriktsforordningen, landdistriktsprogrammet og partnerskabsaftalen.

Som under den gældende lov nedsættes der et overvågningsudvalg. Som noget nyt nedsættes der et indstillingsudvalg. Lovforslaget giver endvidere fødevareministeren og ministeren for by, bolig og landdistrikter bemyndigelse til at fastsætte regler om, at skriftlig kommunikation til og fra ministerierne om forhold, der er omfattet af loven eller af regler udstedt i medfør af loven, skal foregå digitalt."
2306,38049,,1,2014-12-11 10:00:00,17,12981,3,L 12,Forslag til lov om ændring af lov om frikommuner m.v. (Forlængelse af perioden for frikommuneforsøg).,Om forlængelse af perioden for frikommuneforsøg.,"Med lovforslaget ønsker regeringen at skabe mulighed for, at de forsøg, som de ni frikommuner har haft mulighed for at igangsætte under frikommuneforsøget, kan videreføres frem til den 30. juni 2017. 

Lovforslaget er en del af udmøntningen af regeringens og KL’s aftale af 3. juni 2014 om kommunernes økonomi for 2015."
2307,38250,,1,2014-12-11 10:00:00,17,12997,3,L 37,"Forslag til lov om ændring af lov om landbrugsejendomme. (Udvidet adgang for selskaber m.v. til at erhverve landbrugsejendomme, ophævelse af reglerne om fortrinsstilling til suppleringsjord m.v.).","Om udvidet adgang til at erhverve landbrugsejendomme, ophævelse af reglerne om fortrinsstilling til suppleringsjord m.v.","Lovforslaget er en opfølgning på Aftale om Vækstplan for Fødevarer af 2. april 2014 indgået mellem regeringen (Socialdemokratiet og Radikale Venstre), Venstre, Dansk Folkeparti, Liberal Alliance og Det Konservative Folkeparti.

For at forbedre mulighederne for kapitaltilførsel til landbruget foreslås det at lempe reglerne om selskabers erhvervelse af landbrugsejendomme. Reglen om, at én bestemt person skal have bestemmende indflydelse i selskabet, foreslås ophævet, og samtidig foreslås det at udvide kredsen af virksomheder m.v., der kan erhverve landbrugsejendomme uden tilladelse. Som konsekvens af ændringen af selskabsreglerne foreslås det derudover, at reglerne om fortrinsstilling ophæves. 

Der foreslås desuden en ændring af forpagtningsreglerne, som gør det muligt uden tilladelse at leje mindre arealer under 1.000 m2 fra en landbrugsejendom med henblik på anvendelse til haveformål. Endelig foreslås det, at landbrugsloven skal indeholde en hjemmel til at kunne fastsætte regler om digital kommunikation på landbrugslovens område."
