afstemningid,sagstrinid,afstemningstypeid,dato,sagstrintypeid,sagid,sagstypeid,sag_nummer,sag_titel,sag_titelkort,sag_titel_en
2407,54316,1,2014-12-18 10:00:00,17,20248,3,L 48,"Forslag til lov om ændring af lov om elforsyning, lov om naturgasforsyning, lov om varmeforsyning, lov om tilskud til fremme af vedvarende energi i virksomheders produktionsprocesser, biobrændstofloven og lov om fremme af besparelser i energiforbruget. (Erhvervsrettet lempelse af PSO-betaling for elektricitet, afskaffelse af tilskudsordning til ikkekvoteomfattet elproduktion, afskaffelse af PSO-betaling for gas, fravigelse af iblandingsprocent for biobrændstoffer, faktureringsoplysninger m.v. til energiforbrugere, ændring af klageregler m.v.).",Om erhvervsrettet lempelse af PSO-betaling for elektricitet m.v.,"Draft law amending the law on electricity supply, the Act on natural gas supply, the Law on heating supply, the Law on subsidies for the promotion of renewable energy in the production processes of enterprises, the Biofuel Act and the Law on the promotion of energy saving. (Employee relief of PSO electricity payments, the abolition of subsidies for non-quota electricity generation, the abolition of the PSO payment for gas, the derogation from the incorporation rate for biofuels, billing information, etc. for energy consumers, amendment of complaint rules, etc.)."
2408,54329,1,2014-12-18 10:00:00,17,20249,3,L 49,"Forslag til lov om ændring af lov om sikkerhed m.v. for offshoreanlæg til efterforskning, produktion og transport af kulbrinter, lov om beskyttelse af havmiljøet og miljøskadeloven. (Gennemførelse af offshoresikkerhedsdirektivet m.v.).",Om gennemførelse af offshoresikkerhedsdirektivet m.v. ,"Proposal for a law amending the Law on safety, etc. for offshore installations for the exploration, production and transport of hydrocarbons, the Law on the Protection of the Marine Environment and the Environmental Damage Act. (Implementation of the offshore safety directive, etc.)."
2409,38198,1,2014-12-18 10:00:00,17,12993,3,L 21,Forslag til lov om en ny fjordforbindelse ved Frederikssund.,Om en ny fjordforbindelse ved Frederikssund.,Draft law on a new fjord connection at Frederikssund.
2410,57612,1,2014-12-18 10:00:00,17,21433,3,L 73,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om værdipapirhandel m.v., lov om betalingstjenester og elektroniske penge og forskellige andre love. (Erstatningsansvar ved handlinger i strid med god skik-reglerne, forbrugerbeskyttelse ved kaution, krav om grundkursus til bestyrelsesmedlemmer, brugerbeskyttelse ved udbud af betalingstjenester og udstedelse af elektroniske penge m.v.).","Om erstatningsansvar ved handlinger i strid med god skik-regler, krav om grundkursus til bestyrelsesmedlemmer m.v.","Proposal for a law amending the Law on Financial Activities, the Securities Trading Act, the Payment Services and Electronic Money Act and various other laws. (Compliance in the event of acts contrary to good practice, consumer protection by guarantee, requirements for basic training for board members, user protection in the provision of payment services and the issuance of electronic money, etc.)."
2411,38432,1,2014-12-18 10:00:00,17,13011,3,L 32,"Forslag til lov om ændring af lov om efterskoler, husholdningsskoler og håndarbejdsskoler og forskellige andre love. (Fornyelse af frie fagskolers undervisningstilbud m.v.).",Om fornyelse af frie fagskolers undervisningstilbud m.v.,"Proposal for a law amending the law on secondary schools, home schools and hand-working schools and various other laws. (Renewation of the educational provision of free vocational schools etc.)."
2412,55506,1,2014-12-18 10:00:00,17,21320,3,L 56,Forslag til lov om ændring af lov om Arbejdsgivernes Uddannelsesbidrag. (Finansiering af elevers ophold på kostafdelinger m.v.).,Om finansiering af elevers ophold på kostafdelingen m.v.,Proposal for a law amending the Law on Employers' Educational Contributions.
2413,38062,1,2014-12-18 10:00:00,17,12982,3,L 6,"Forslag til lov om ændring af lov om indgåelse af protokoller om ændring af dobbeltbeskatningsoverenskomster mellem Danmark og henholdsvis Belgien, Luxembourg, Singapore og Østrig. (Gennemførelse af protokol til ændring af dobbeltbeskatningsoverenskomsten mellem Danmark og Luxembourg).",Om dobbeltbeskatningsoverenskomsten mellem Danmark og Luxembourg.,"Proposal for a law amending the Law on the conclusion of protocols amending the double taxation agreements between Denmark and Belgium, Luxembourg, Singapore and Austria respectively (Implementation of the Protocol amending the Convention on double taxation between Denmark and Luxembourg)."
2414,38036,1,2014-12-18 10:00:00,17,12980,3,L 8,Forslag til lov om indgåelse af dobbeltbeskatningsoverenskomst mellem Danmark og Ghana.,Om indgåelse af dobbeltbeskatningsoverenskomst mellem Danmark og Ghana.,Proposal for a law on the conclusion of a double taxation agreement between Denmark and Ghana.
2415,59315,1,2014-12-18 10:00:00,17,21901,3,L 42 A,"Forslag til lov om ændring af skatteforvaltningsloven, opkrævningsloven og forskellige andre love. (Hurtig afslutning i visse klagesager, omkostningsgodtgørelse i retssager, dækningsrækkefølgen for underholdsbidrag, restanceforebyggelse, momsregistrering af visse virksomheder, forbedret inddrivelse af restancer til det offentlige m.v.).","Om hurtig afslutning i visse klagesager, omkostningsgodtgørelse i retssager m.v. ","Proposal for a law amending the Tax Administration Act, the Collection Act and various other laws. (Fast closure in certain appeals, cost compensation in legal proceedings, maintenance order, arrears prevention, VAT registration of certain companies, improved recovery of arrears to the public, etc.)."
2416,59319,1,2014-12-18 10:00:00,17,21902,3,L 42 B,Forslag til lov om ændring af ligningsloven. (Betingelse for tredjemandstilskud).,Om betingelse for tredjemandstilskud.,Draft law amending the law on equations.
2417,59331,1,2014-12-18 10:00:00,17,21899,3,L 43 A,Forslag til lov om ændring af momsloven. (Ophævelse af fradragsbegrænsningen for moms på hotelophold).,Om ophævelse af fradragsbegrænsningen for moms på hotelophold.,Proposal for a law amending the VAT Act.
2418,59335,1,2014-12-18 10:00:00,17,21900,3,L 43 B,"Forslag til lov om ændring af registreringsafgiftsloven, brændstofforbrugsafgiftsloven og lov om vægtafgift af motorkøretøjer m.v. (Harmonisering af afgifterne på personbiler  med tilladelse til erhvervsmæssig persontransport).",Om harmonisering af afgifterne på personbiler med tilladelse til erhvervsmæssig persontransport.,"Proposal for a law amending the Registration Tax Act, the Fuel Consumption Tax Act and the Weighting Tax Act for Motor Vehicles, etc. (Harmonisation of taxes on passenger cars authorised for commercial passenger transport)."
2419,57452,1,2014-12-18 10:00:00,17,21420,3,L 63,Forslag til lov om ændring af kildeskatteloven. (Nedsættelse af vederlagskravet i skatteordningen for udenlandske forskere og nøglemedarbejdere).,Om nedsættelse af vederlagskravet i skatteordningen for udenlandske forskere og nøglemedarbejdere.,Proposal for a law amending the Law on withholding tax. (Reduction of the remuneration requirement in the tax scheme for foreign researchers and key employees).
2420,54225,1,2014-12-18 10:00:00,17,20241,3,L 44,Forslag til lov om ændring af lov om dansk indfødsret. (Accept af dobbelt statsborgerskab og betaling af gebyr i sager om dansk indfødsret).,Om accept af dobbelt statsborgerskab og betaling af gebyr i sager om dansk indfødsret.,Draft law amending the law on Danish citizenship. (Accept of dual citizenship and payment of fees in cases of Danish citizenship).
2421,59327,1,2014-12-18 10:00:00,17,21898,3,L 45 B,Forslag til lov om indfødsrets meddelelse.,Om indfødsrets meddelelse.,Draft law on the notification of citizenship.
2422,38237,1,2014-12-18 10:00:00,17,12996,3,L 28,"Forslag til lov om ændring af lov for Færøerne om rettens pleje og lov om ændring af tinglysningsloven, konkursloven og andre love. (Indførelse af virksomhedspant på Færøerne).",Om indførelse af virksomhedspant på Færøerne.,"Proposal for a law amending the Law of the Faroe Islands on the care of the courts and the Law amending the Law of the Land Register, the Law of bankruptcy and other laws. (Introduction of company pledges in the Faroe Islands)."
2423,38289,1,2014-12-18 10:00:00,17,13000,3,L 29,Forslag til lov om ændring af lov om erstatningsansvar. (Ændring af beregningsprincipperne for erhvervsevnetabserstatning til unge under uddannelse).,Om ændring af beregningsprincipperne for erhvervstabserstatning til unge under uddannelse.,Proposal for a law amending the law on liability (Amendment of the principles of calculation of occupational loss compensation for young people undergoing training).
2424,58947,1,2014-12-18 10:00:00,17,21810,3,L 30 A,Forslag til lov om ændring af færdselsloven. (Letbaner).,Om letbaner.,Proposal for a law amending the Road Traffic Code. (Light runways).
2425,58950,1,2014-12-18 10:00:00,17,21811,3,L 30 B,Forslag til lov om ændring af færdselsloven. (Konstruktivt bestemt hastighed for motorredskaber m.v.).,Om konstruktivt bestemt hastighed for motorredskaber m.v.,"Proposal for a law amending the Road Traffic Code. (Constructively determined speed of engine tools, etc.)."
2444,58260,1,2015-01-22 10:00:00,17,21604,3,L 86,"Forslag til lov om ændring af lov om betalingsregler for spildevandsforsyningsselskaber m.v., lov om miljøbeskyttelse og lov om vandsektorens organisering og økonomiske forhold. (Afdragsordning, finansiering og fristfastsættelse ved påbud om forbedret spildevandsrensning samt drift og vedligeholdelse af anlæg til spildevandshåndtering).",Om spildevandsrensning m.v.,"Proposal for a law amending the Law on payment rules for waste water supply companies, etc., the Law on environmental protection and the Law on the organisation and economic conditions of the water sector."
2445,55543,1,2015-01-22 10:00:00,17,21327,3,L 51,Forslag til lov om ændring af bogføringsloven. (Opbevaring af regnskabsmateriale m.v.).,Om opbevaring af regnskabsmateriale m.v.,"Proposal for a law amending the Accounting Act. (Reservation of accounting records, etc.)."
2446,58232,1,2015-01-22 10:00:00,17,21601,3,L 83,"Forslag til lov om ændring af lov om arbejdsmiljø. (Undtagelse af frivilligt arbejde fra krav om arbejdspladsvurdering og arbejdsmiljøorganisation, forebyggelse af arbejdsrelateret vold, trusler og anden krænkende adfærd uden for arbejdstid, Arbejdstilsynets adgang til at indhente oplysninger fra eksterne registre m.v.).",Om undtagelse af frivilligt arbejde fra krav om arbejdspladsvurdering m.v.,"Proposal for a law amending the Law on Working Conditions. (Exclusion of voluntary work from requirements on workplace assessment and OSH organisation, prevention of work-related violence, threats and other offensive behaviour outside working hours, access by the Factory Inspectorate to obtain information from external registers, etc.)."
2447,58245,1,2015-01-22 10:00:00,17,21602,3,L 84,Forslag til lov om ændring af lov om retsforholdet mellem arbejdsgivere og funktionærer. (Forenkling vedrørende fratrædelsesgodtgørelse).,Om forenkling vedrørende fratrædelsesgodtgørelse.,Proposal for a law amending the law on the legal relationship between employers and employees.
2448,59641,1,2015-01-22 10:00:00,17,21980,3,L 106,Forslag til lov om ændring af lov om aktiv socialpolitik. (Midlertidig genindførelse af fradrag i uddannelses- og kontanthjælp for samlevers indtægter m.v.).,Om midlertidig genindførelse af fradrag i uddannelses- og kontanthjælp for samlevers indtægter m.v.,Proposal for a law amending the Act on active social policy.
2454,57485,1,2015-02-03 13:00:00,17,21423,3,L 72,"Forslag til lov om ændring af udlændingeloven. (Midlertidig beskyttelsesstatus for visse udlændinge samt afvisning af realitetsbehandling af asylansøgninger, når ansøgeren har opnået beskyttelse i et andet EU-land m.v.).",Om midlertidig beskyttelsesstatus for visse udlændinge samt afvisning af realitetsbehandling af visse asylansøgninger m.v.,"Proposal for a law amending the law on aliens. (Temporary protection status of certain aliens and refusal of admissibility of asylum applications once the applicant has obtained protection in another EU country, etc.)."
2457,55480,1,2015-02-05 10:00:00,17,21318,3,L 50,Forslag til lov om ændring af straffeloven og lov om fuldbyrdelse af straf m.v. (Samfundstjeneste m.v.).,Om samfundstjeneste m.v.,"Proposal for a law amending the Criminal Code and the Law on the Enforcement of Punishment, etc. (Social Service, etc.)."
2458,57498,1,2015-02-05 10:00:00,17,21424,3,L 69,Forslag til lov om ændring af færdselsloven. (Ændret aldersgrænse for forkortet gyldighedsperiode for kørekort m.v.).,Om ændret aldersgrænse for forkortet gyldighedsperiode for kørekort m.v.,"Proposal for a law amending the Road Traffic Code. (Abbreviated age limit for abbreviated validity of driving licences, etc.)."
2459,59110,1,2015-02-05 10:00:00,17,21852,3,L 104,Forslag til lov om Miljøteknologisk Udviklings- og Demonstrationsprogram.,Om Miljøteknologisk Udviklings- og Demonstrationsprogram.,Draft law on the Environmental Technology Development and Demonstration Programme.
2460,55467,1,2015-02-05 10:00:00,17,21317,3,L 52,Forslag til lov om ændring af lov om Aarhus Letbane og lov om trafikselskaber. (Transportministerens udtræden af Aarhus Letbane I/S).,Om transportministerens udtræden af Aarhus Letbane I/S.,Proposal for a law amending the law on Aarhus Letbane and the law on transport companies. (The Minister of Transport's withdrawal from Aarhus Letbane I/S).
2461,55493,1,2015-02-05 10:00:00,17,21319,3,L 53,Forslag til lov om Odense Letbane.,Om Odense Letbane.,Draft law on Odense Letbane.
2462,57560,1,2015-02-05 10:00:00,17,21429,3,L 68,"Forslag til lov om ændring af lov om en Cityring og lov om Metroselskabet I/S og Udviklingsselskabet By & Havn I/S. (Afgrening fra Cityringen til Sydhavnen, mulighed for udvidelse af afgreningen til Nordhavnen, reduktion af statens ejerandel af Udviklingsselskabet By & Havn I/S, projektering af en Nordhavnstunnel m.v.).","Om en Nordhavnstunnel, udvidelse af Cityringen og reducering af statens ejerandel af Udviklingsselskabet By & Havn I/S.","Proposal for a law amending the Law on a Cityring and the Law on the Metro Company I/S and the Development Company City & Port I/S. (Department from Cityringen to South Harbour, possibility of extending the branch to North Harbour, reduction of State ownership of the Development Company City & Port I/S, design of a Nordhavnstunnel, etc.)."
2470,55437,1,2015-02-19 10:00:00,17,21315,3,L 54,Forslag til lov om ændring af lov om kommunernes styrelse og regionsloven. (Mulighed for indgåelse af aftale om grænsependleres ret til fravær fra arbejdet og afskaffelse af dispensation bl.a. for ikkekommunalbestyrelses-/ikkeregionsrådsmedlemmer som medlemmer i udvalg).,Om mulighed for indgåelse af aftale om grænsependleres ret til fravær fra arbejdet m.v.,"Proposal for a law amending the law on the administration of municipalities and the Regional Law. (Possibility of concluding an agreement on the right of frontier commuters to absenteeism from work and the abolition of derogations, inter alia, for non-council/non-regional councillors as members of committees)."
2471,57511,1,2015-02-19 10:00:00,17,21425,3,L 71,"Forslag til lov om ændring af lov om miljøbidrag og godtgørelse i forbindelse med ophugning og skrotning af biler og lov om miljøbeskyttelse. (Obligatorisk digital kommunikation, ændringer i administrationsordningen for udbetaling af skrotningsgodtgørelse og nedsættelse af betalingssats for indsamling af bærbare batterier m.v.).",Om obligatorisk digital kommunikation og administrationsordningen for udbetaling af skrotningsgodtgørelse m.v.,"Proposal for a law amending the Law on environmental contributions and compensation for the scrapping and scrapping of cars and the Law on environmental protection. (Publicational digital communications, changes in the administrative arrangements for the payment of scrap payment and reduction of the payment rate for the collection of portable batteries, etc.)."
