afstemningid,sag_titel,sag_titel_en,dato
2444,"Forslag til lov om ændring af lov om betalingsregler for spildevandsforsyningsselskaber m.v., lov om miljøbeskyttelse og lov om vandsektorens organisering og økonomiske forhold. (Afdragsordning, finansiering og fristfastsættelse ved påbud om forbedret spildevandsrensning samt drift og vedligeholdelse af anlæg til spildevandshåndtering).","Proposal for a law amending the Law on payment rules for waste water supply companies, etc., the Law on environmental protection and the Law on the organisation and economic conditions of the water sector.",2015-01-22 10:00:00
2445,Forslag til lov om ændring af bogføringsloven. (Opbevaring af regnskabsmateriale m.v.).,"Proposal for a law amending the Accounting Act. (Reservation of accounting records, etc.).",2015-01-22 10:00:00
2446,"Forslag til lov om ændring af lov om arbejdsmiljø. (Undtagelse af frivilligt arbejde fra krav om arbejdspladsvurdering og arbejdsmiljøorganisation, forebyggelse af arbejdsrelateret vold, trusler og anden krænkende adfærd uden for arbejdstid, Arbejdstilsynets adgang til at indhente oplysninger fra eksterne registre m.v.).","Proposal for a law amending the Law on Working Conditions. (Exclusion of voluntary work from requirements on workplace assessment and OSH organisation, prevention of work-related violence, threats and other offensive behaviour outside working hours, access by the Factory Inspectorate to obtain information from external registers, etc.).",2015-01-22 10:00:00
2447,Forslag til lov om ændring af lov om retsforholdet mellem arbejdsgivere og funktionærer. (Forenkling vedrørende fratrædelsesgodtgørelse).,Proposal for a law amending the law on the legal relationship between employers and employees.,2015-01-22 10:00:00
2448,Forslag til lov om ændring af lov om aktiv socialpolitik. (Midlertidig genindførelse af fradrag i uddannelses- og kontanthjælp for samlevers indtægter m.v.).,Proposal for a law amending the Act on active social policy.,2015-01-22 10:00:00
2454,"Forslag til lov om ændring af udlændingeloven. (Midlertidig beskyttelsesstatus for visse udlændinge samt afvisning af realitetsbehandling af asylansøgninger, når ansøgeren har opnået beskyttelse i et andet EU-land m.v.).","Proposal for a law amending the law on aliens. (Temporary protection status of certain aliens and refusal of admissibility of asylum applications once the applicant has obtained protection in another EU country, etc.).",2015-02-03 13:00:00
2457,Forslag til lov om ændring af straffeloven og lov om fuldbyrdelse af straf m.v. (Samfundstjeneste m.v.).,"Proposal for a law amending the Criminal Code and the Law on the Enforcement of Punishment, etc. (Social Service, etc.).",2015-02-05 10:00:00
2458,Forslag til lov om ændring af færdselsloven. (Ændret aldersgrænse for forkortet gyldighedsperiode for kørekort m.v.).,"Proposal for a law amending the Road Traffic Code. (Abbreviated age limit for abbreviated validity of driving licences, etc.).",2015-02-05 10:00:00
2459,Forslag til lov om Miljøteknologisk Udviklings- og Demonstrationsprogram.,Draft law on the Environmental Technology Development and Demonstration Programme.,2015-02-05 10:00:00
2460,Forslag til lov om ændring af lov om Aarhus Letbane og lov om trafikselskaber. (Transportministerens udtræden af Aarhus Letbane I/S).,Proposal for a law amending the law on Aarhus Letbane and the law on transport companies. (The Minister of Transport's withdrawal from Aarhus Letbane I/S).,2015-02-05 10:00:00
2461,Forslag til lov om Odense Letbane.,Draft law on Odense Letbane.,2015-02-05 10:00:00
2462,"Forslag til lov om ændring af lov om en Cityring og lov om Metroselskabet I/S og Udviklingsselskabet By & Havn I/S. (Afgrening fra Cityringen til Sydhavnen, mulighed for udvidelse af afgreningen til Nordhavnen, reduktion af statens ejerandel af Udviklingsselskabet By & Havn I/S, projektering af en Nordhavnstunnel m.v.).","Proposal for a law amending the Law on a Cityring and the Law on the Metro Company I/S and the Development Company City & Port I/S. (Department from Cityringen to South Harbour, possibility of extending the branch to North Harbour, reduction of State ownership of the Development Company City & Port I/S, design of a Nordhavnstunnel, etc.).",2015-02-05 10:00:00
2470,Forslag til lov om ændring af lov om kommunernes styrelse og regionsloven. (Mulighed for indgåelse af aftale om grænsependleres ret til fravær fra arbejdet og afskaffelse af dispensation bl.a. for ikkekommunalbestyrelses-/ikkeregionsrådsmedlemmer som medlemmer i udvalg).,"Proposal for a law amending the law on the administration of municipalities and the Regional Law. (Possibility of concluding an agreement on the right of frontier commuters to absenteeism from work and the abolition of derogations, inter alia, for non-council/non-regional councillors as members of committees).",2015-02-19 10:00:00
2471,"Forslag til lov om ændring af lov om miljøbidrag og godtgørelse i forbindelse med ophugning og skrotning af biler og lov om miljøbeskyttelse. (Obligatorisk digital kommunikation, ændringer i administrationsordningen for udbetaling af skrotningsgodtgørelse og nedsættelse af betalingssats for indsamling af bærbare batterier m.v.).","Proposal for a law amending the Law on environmental contributions and compensation for the scrapping and scrapping of cars and the Law on environmental protection. (Publicational digital communications, changes in the administrative arrangements for the payment of scrap payment and reduction of the payment rate for the collection of portable batteries, etc.).",2015-02-19 10:00:00
2472,"Forslag til lov om ændring af lov om råstoffer, lov om kystbeskyttelse og lov om havstrategi. (Ændringer af auktionsordningen og andre regler om indvinding af råstoffer på havet som følge af regeringens konkurrencepolitiske udspil og evaluering af råstofloven, ændringer som følge af overførelse af kystbeskyttelsesloven til Miljøministeriet og præcisering af gennemførelse af havstrategirammedirektivet m.v.).","Proposal for a law amending the law on raw materials, the law on coastal protection and the law on marine strategy. (Amendments to the auction scheme and other rules on the recovery of raw materials at sea as a result of the Government's competition policy proposals and evaluation of the law on raw materials, amendments resulting from the transfer of the coastal protection law to the Ministry of the Environment and clarification of the implementation of the Marine Strategy Framework Directive, etc.).",2015-02-19 10:00:00
2473,"Forslag til lov om ændring af lov om planlægning og lov om naturbeskyttelse. (Opfølgning på dele af Naturplan Danmark om etablering af et Grønt Danmarkskort, forbud mod gødskning og sprøjtning på § 3-beskyttede arealer og indførelse af et vejledende bødeniveau for overtrædelse af naturbeskyttelsesloven m.v.).","Proposal for a law amending the law on planning and the law on nature conservation. (Follow-up to parts of the Nature Plan Denmark on the establishment of a Green Denmark Card, ban on fertilising and spraying on § 3 protected areas and introduction of an indicative level of fines for infringement of the Nature Conservation Act, etc.).",2015-02-19 10:00:00
2474,Forslag til lov om ændring af lov om udstationering af lønmodtagere m.v. (Forhøjelse af straffen for overtrædelser af grovere karakter af anmeldelsespligten til Register for Udenlandske Tjenesteydere).,"Proposal for a law amending the law on the posting of employees, etc. (Encourage of penalties for grosser offences of the obligation to notify the Register of Foreign Service Providers).",2015-02-19 10:00:00
2475,Forslag til lov om kontantydelse.,Draft law on cash benefits.,2015-02-19 10:00:00
2481,"Forslag til lov om ændring af lov om arbejdsløshedsforsikring m.v. (Forsøg vedrørende fradrag for frivilligt, ulønnet arbejde).","Proposal for a law amending the law on unemployment insurance, etc. (Experiments on the deduction of voluntary unpaid work).",2015-02-26 10:00:00
2482,"Forslag til lov om ændring af kildeskatteloven, kursgevinstloven, selskabsskatteloven, virksomhedsskatteloven og forskellige andre love. (Exitskat og henstand for fysiske personer, gennemførelse af ændring af moder-/datterselskabsdirektivet, justering af rentefradragsbegrænsningsreglerne og opgørelsesprincipper for fordringer og gæld m.v.). ","Draft law amending the withholding tax law, the exchange gains law, the corporation tax law, the corporate tax law and various other laws. (Exit tax and deferred tax for natural persons, implementation of amendments to the parent/subsidiary directive, adjustment of the interest relief rules and statement principles for claims and debts, etc.).",2015-02-26 10:00:00
2483,Forslag til lov om ændring af lov om planlægning og lov om almene boliger m.v. (Blandet boligsammensætning).,"Draft law amending the law on planning and the law on general housing, etc. (Bland housing composition).",2015-02-26 10:00:00
2485,Forslag til lov om ændring af lov om almene boliger m.v. (Støtte til nedrivning af hele boligafdelinger).,"Proposal for a law amending the law on general housing, etc. (Support for the demolition of entire housing departments).",2015-02-26 10:00:00
2486,Forslag til lov om ændring af lov om almene boliger m.v. (Sociale klausuler om uddannelses- og praktikaftaler).,"Proposal for a law amending the law on general housing, etc. (Social clauses on training and practical arrangements).",2015-02-26 10:00:00
2491,Forslag til lov om tillægsbevilling for 2014.,Draft law on the additional allocation for 2014.,2015-03-10 13:00:00
2495,"Forslag til lov om ændring af udlændingeloven. (Styrkede kontrolmuligheder i grænseområder og lufthavne og skærpelse af bødeniveau for udlændinges ulovlige indrejse, ophold og arbejde).",Proposal for a law amending the law on aliens.,2015-03-17 13:00:00
2496,Forslag til lov om ændring af lov om ændring af lov om folkekirkens økonomi. (Ophævelse af revisionsklausul).,Draft law amending the Law amending the Law on the National Church's Economy.,2015-03-19 10:00:00
2497,Forslag til lov om ændring af forældreansvarsloven og retsplejeloven. (Imødegåelse af samarbejdschikane m.v.).,Proposal for a law amending the Parental Responsibility Act and the Code of Criminal Procedure.,2015-03-19 10:00:00
2498,Forslag til lov om ændring af lov om leje af erhvervslokaler m.v. (Fremme af energirenovering i erhvervslejemål).,"Proposal for a law amending the law on the rental of commercial premises, etc. (Promotion of energy renovation in commercial leases).",2015-03-19 10:00:00
2499,"Forslag til lov om ændring af lov om statens voksenuddannelsesstøtte (SVU), lov om en aktiv beskæftigelsesindsats, ligningsloven og lov om institutioner for almengymnasiale uddannelser og almen voksenuddannelse m.v. (Forenkling af ordningen vedrørende statens voksenuddannelsesstøtte).","Proposal for a law amending the Law on State Adult Training Support (SFU), Act on Active Employment Efforts, Equalisation Act and Law on Institutions for General Secondary Education and Adult Education, etc. (Simplification of the State Adult Training Support Scheme).",2015-03-19 10:00:00
2500,Forslag til lov om ændring af lov om akkreditering af videregående uddannelsesinstitutioner. (Ingen prækvalifikation af nye uddannelser ved sammenlægning af eksisterende uddannelser).,Proposal for a law amending the law on the accreditation of higher education institutions.,2015-03-19 10:00:00
2501,"Forslag til lov om ændring af momsloven. (Importmoms på dansksprogede magasiner, tidsskrifter og lign. sendt fra lande uden for EU og bemyndigelse til lempelse og fritagelse vedrørende faktureringspligt).","Proposal for a law amending the VAT Act. (Import VAT in Danish-language magazines, magazines and the like sent from outside the EU and authorisation for relief and exemption in respect of invoicing obligations).",2015-03-19 10:00:00
2503,"Forslag til lov om ændring af varemærkeloven, designloven, patentloven og lov om brugsmodeller. (Styrket indsats mod piratkopiering ved etablering af en håndhævelsesenhed m.v.).","Proposal for a law amending the Trademark Act, the Design Act, the Patent Act and the law on utility models. (Strengthened action against piracy by setting up an enforcement unit, etc.).",2015-03-24 13:00:00
2504,Forslag til lov om ændring af lov om finansiel virksomhed. (Gennemførelse af solvens II- og omnibus II-direktivet).,Proposal for a law amending the Law on Financial Activities (Implementation of the Solvency II and Omnibus II Directive).,2015-03-24 13:00:00
2511,Forslag til lov om ændring af udlændingeloven. (Statsforvaltningens underretning af kommunerne ved udstedelse af registreringsbeviser og opholdskort efter EU-reglerne samt justering af boligkravet m.v.).,"Proposal for a law amending the law on aliens. (Informing the municipalities by the State Administration by issuing registration certificates and residence cards under EU rules and adjusting the housing requirement, etc.).",2015-03-26 10:00:00
2512,Forslag til lov om restrukturering og afvikling af visse finansielle virksomheder.,Proposal for a law on the restructuring and winding-up of certain financial undertakings.,2015-03-26 10:00:00
2513,"Forslag til lov om ændring af lov om finansiel virksomhed, lov om finansiel stabilitet, lov om en garantifond for indskydere og investorer, lov om værdipapirhandel m.v. og ligningsloven. (Gennemførelse af direktiv om genopretning og afvikling af kreditinstitutter og investeringsselskaber (BRRD) og direktiv om indskudsgarantiordninger (DGSD)).","Proposal for a law amending the Law on Financial Activities, the Law on Financial Stability, the Law on a Guarantee Fund for Depositors and Investors, the Law on Securities Trading, etc., and the Equalisation Act. (Implementation of the Directive on the Recovery and Settlement of Credit Institutions and Investment Companies (BRRD) and the Directive on Deposit Guarantee Schemes (DGSD)).",2015-03-26 10:00:00
